VERB	WORD_ID	SENTENCE	LEMMA	PASS	PART	SCF	IN/RP	CORRECT SCF	CORRECT IN/RP	STC_ID	COMMENT
climbed	3	Then Suyumbike [climbed] the tower to the seventh story floor and jumped out of the window .	climb	0	0	dobj_N:prep=>pobj	to	prep=>pobj	to	145	#
jumped	12	Then Suyumbike climbed the tower to the seventh story floor and [jumped] out of the window .	jump	0	0	prep=>pobj	out of	prep=>pobj	out of	145	#
wake	5	"Would you like to [wake] up to cool , fresh sea air , in Pacific Heights setting ?"	wake	0	0	prep=>pobj:prt	to-up	prep=>pobj:prt	to-up	152	#
'm	2	I ['m] sure this is by far the most exhilarating job for you .	be	0	0	acomp	0	acomp	0	153	#
appreciate	3	I highly [appreciate] your coming to listen my campaign speech for student council president .	appreciate	0	0	xcomp_VING	0	xcomp_VING	0	157	#
asked	4	"I had never [asked] about my dreams to anybody , but I 'm a dreamer guy ."	ask	0	0	prep=>pobj:prep=>pobj	about-to	dobj_N-prep=>pobj	about	158	#
experimented	2	He [experimented] boldly with color to express the primitive energy of animals .	experiment	0	0	prep=>pobj:xcomp_VBARE	with	prep=>pobj:xcomp_VBARE	with	160	#
finished	12	"It 's really a serious problem because each project must be [finished] by a team , not only you ."	finish	0	0	dobj_N	0	dobj_N	0	161	#
found	4	I ` ver [found] an absolutely amazing job for you .	find	0	0	dobj_N:prep=>pobj	for	dobj_N:prep=>pobj	for	163	#
shimmers	2	It [shimmers] in all colors of the rainbow .	shimmer	0	0	prep=>pobj	in	prep=>pobj	in	164	#
was	8	I went to Kazan University when I [was] 16 .	be	0	0	acomp	0	acomp	0	170	#
compared	3	"Also , [compared] with the second website , the first one offers the customers diversified ways to pay and deliver products , which is really convenient and appealing ."	compare	0	1	dobj_N:prep=>pobj	with	dobj_N:prep=>pobj	with	176	#
liked	7	"After a few seconds , it [liked] a lifetime to Meg , the young woman grabbed Meg 's laptop and ran off ."	liken	0	0	dobj_N	0	dobj_N	0	179	The verb [like] here is incorrect. Correct verbs could be [liken] or [felt like].
ran	21	"After a few seconds , it liked a lifetime to Meg , the young woman grabbed Meg 's laptop and [ran] off ."	run	0	0	prt	off	prt	off	179	#
am	14	"I decided to run for this position , and I believe that I [am] the most prepared to conduct this council toward the changes our school demands ."	be	0	0	xcomp_N	0	xcomp_N	0	181	newframe: xcomp_N:xcomp_VBARE=>aux_TO
conduct	19	"I decided to run for this position , and I believe that I am the most prepared to [conduct] this council toward the changes our school demands ."	conduct	0	0	dobj_N:prep=>pobj	toward	dobj_N:prep=>pobj	toward	181	#
went	2	I [went] back to home .	go	0	0	prep=>pobj:prt	to-back	prt	back home	183	#
located	3	The apartment [located] on 13th floor of Pacific Heights with beautiful panorama .	locate	0	1	dobj_N:prep=>pobj	on	dobj_N:prep=>pobj	on	184	"Passive auxiliary [is] is missing, but this is not an error in the subcategorisation frame, so I have annotated as usual."
matter	3	"Does not [matter] if this companionshipe is a husband , a boyfriend or simply a friend ."	matter	0	0	ccomp_WHCOMP	0	ccomp_WHCOMP	0	185	#
saw	18	"When he was on his way to work with coffee and laptop in his hands , he [saw] a young couple get out a car and start to vandalize the local newsagents ."	see	0	0	dobj_N:xcomp_VBARE	0	dobj_N:xcomp_VBARE	0	187	#
get	22	"When he was on his way to work with coffee and laptop in his hands , he saw a young couple [get] out a car and start to vandalize the local newsagents ."	get	0	0	prep=>pobj	out	prep=>pobj:prt	out of	187	#
won	6	I guess you 've just [won] a new regular guest !	win	0	0	dobj_N	0	dobj_N	0	188	#
cares	14	"All depends on a standard of living , from that as the state [cares] of the people , life actually at people the heavy And Bryansk is a separate conversation ."	care	0	0	prep=>pobj	of	prep=>pobj	for	189	#
done	6	It 's an oil painting [done] in 1874 .	do	0	1	dobj_N:prep=>pobj	in	dobj_N:prep=>pobj	in	192	#
dance	5	In the evening we [dance] or stay on the deck when the weather is fine .	dance	0	0	su	0	su	0	195	#
named	8	"First , there was a poor man [named] John ."	name	0	1	dobj_N:xcomp_N	0	dobj_N:xcomp_N	0	198	#
feel	12	"Walking into the apartment along with the porch will make you [feel] returning to the nature , and you can leave the burdens of work outside of the door ."	feel	0	0	xcomp_VING	0	prep=>pcomp_VING	like	201	newframe: prt:xcomp_VING
leave	21	"Walking into the apartment along with the porch will make you feel returning to the nature , and you can [leave] the burdens of work outside of the door ."	leave	0	0	dobj_N:prep=>pobj	outside	dobj_N:prep=>pobj	outside	201	#
agreed	3	43 % [agreed] on changing their accent if it were possible and the most preferred accent was Standard English with 60 % .	agree	0	0	prep=>pcomp_VING	on	prep=>pcomp_VING	on	202	#
count	6	I would start saying I [count] on you to this new jorney .	count	0	0	prep=>pobj:prep=>pobj	on-to	prep=>pobj:prep=>pobj	on-to	204	#
be	7	I regret that we will not [be] able to enjoy your company and hope your party is a success .	be	0	0	acomp	0	acomp	0	208	newframe: xcomp_ADJ:xcomp_VBARE=>aux_TO
leading	7	"You should mention the circumstances ' [leading] up to that treatment and , If possible , give the date , place and approximate time it happened ."	lead	0	0	prep=>pobj:prt	to-up	prep=>pobj:prt	to-up	213	#
Were	1	[Were] n't such kind of stories with you .	be	0	0	xcomp_N	0	xcomp_N	0	216	#
encourage	3	I will [encourage] the principles to locate more low cost caffee shops and stationary shops .	encourage	0	0	dobj_N:xcomp_VBARE=>aux_TO	0	dobj_N:xcomp_VBARE=>aux_TO	0	220	#
be	8	"First of all , the work will [be] outdoors , as you want to , and you will be in contact with different kinds of animals ."	be	0	0	acomp	0	acomp	0	221	#
want	13	"First of all , the work will be outdoors , as you [want] to , and you will be in contact with different kinds of animals ."	want	0	0	xcomp_VBARE=>aux_TO	0	dobj_N:xcomp_VBARE=>aux_TO	0	221	#
lying	5	The detective found him [lying] on the floor near the window .	lie	0	0	prep=>pobj	on	prep=>pobj	on	222	#
marked	4	An area is [marked] as the bowling alley .	mark	1	0	dobj_N:prep=>pobj	as	dobj_N:prep=>pobj	as	232	#
know	14	"Tomorrow the weather will be better than today , so I going to [know] to the beach ."	know	0	0	prep=>pobj	to	dobj_N	0	233	[know] does not make sense in this sentence. Possibly [go] is meant.
help	3	It can [help] any kind of nausea .	help	0	0	dobj_N	0	prep=>pobj	with	234	#
go	5	At 7 o'clock I [go] to work .	go	0	0	prep=>pobj	to	prep=>pobj	to	240	#
asked	20	"And he finally told her what was hid deeply at the bottom of his heart , but he never [asked] her to be her girlfriend and she never gave him the answer ."	ask	0	0	dobj_N:xcomp_VBARE=>aux_TO	0	dobj_N:xcomp_VBARE=>aux_TO	0	242	#
gave	29	"And he finally told her what was hid deeply at the bottom of his heart , but he never asked her to be her girlfriend and she never [gave] him the answer ."	give	0	0	dobj_N:iobj	0	dobj_N:iobj	0	242	#
asked	2	"When [asked] if did they change their voice depending on whom they were talking to , 81 % said yes , especially to ensure they were understood or to fit in better ."	ask	1	0	ccomp_WHCOMP:dobj_N	0	ccomp_WHCOMP:dobj_N	0	244	#
depending	9	"When asked if did they change their voice [depending] on whom they were talking to , 81 % said yes , especially to ensure they were understood or to fit in better ."	depend	0	0	prep=>pcomp	on	prep=>pcomp	on	244	#
was	4	The main course [was] too salty and the red wine sour .	be	0	0	acomp	0	acomp	0	247	#
like	3	I 'd [like] to visit all the museums and I 'd like to watch at least one a play on Broadway .	like	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	249	#
like	12	I 'd like to visit all the museums and I 'd [like] to watch at least one a play on Broadway .	like	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	249	#
is	3	My professional [is] demand to one teach in the idiom english .	be	0	0	xcomp_VBARE	0	xcomp_VBARE	0	253	[be] is an auxiliary
demand	4	My professional is [demand] to one teach in the idiom english .	demand	0	0	prep=>pcomp	to	xcomp_VBARE	0	253	#
is	3	My father [is] seventy-six and my mother is sixty-seven .	be	0	0	acomp	0	acomp	0	256	#
is	8	My father is seventy-six and my mother [is] sixty-seven .	be	0	0	acomp	0	acomp	0	256	#
Line	1	"[Line] up the bottles in row 4 , then 3 , then 2 and then 1 on the area about 8 metters x 3 metters ."	line	0	0	dobj_N:prep=>pobj:prt	in-up	dobj_N:prep=>pobj:prt	in-up	258	#
lined	4	"The bottles are [lined] up in rows of 4 , then 3 , then 2 , then 1 - just like ten-pin bowling ."	line	1	0	dobj_N:prep=>pobj:prt	in-up	dobj_N:prep=>pobj:prt	in-up	265	#
had	2	She [had] an anxiety attack - unable to breath and feeling faint .	have	0	0	dobj_N	0	dobj_N	0	266	#
breath	9	She had an anxiety attack - unable to [breath] and feeling faint .	breathe	0	0	su	0	su	0	266	[breathe] misspellt as [breath]
Do	1	"[Do] it at the evening , too ."	do	0	0	dobj_N	0	dobj_N	0	269	#
Line	1	[Line] up the bottles in rows like ten-pin bowling .	line	0	0	dobj_N:prep=>pobj:prt	in-up	dobj_N:prep=>pobj:prt	in-up	270	#
Fill	1	[Fill] with a little water to make then heavier .	fill	0	0	prep=>pobj	with	dobj_N:prep=>pobj	with	271	#
work	16	"For me , it is absolutely necessary and will be the first item I 'll [work] as soon as elected by you ."	work	0	0	dobj_N	0	prep=>pobj	on	272	#
goes	5	"On Sunday , he [goes] to park at eleven o'clock , and plays tennis at half past eleven ."	go	0	0	prep=>pobj	to	prep=>pobj	to	274	determiner missing before [park]
want	2	I [want] to know more about Project Management .	want	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	278	#
printed	5	An e-ticket should be [printed] from home from your computer to prove you bought a ticket .	print	1	0	dobj_N:prep=>pobj:prep=>pobj	from-from	dobj_N:prep=>pobj:prep=>pobj	at-from	279	#
give	10	In my opinion I 'm in perfect shape what [give] me a excellent level of fitness .	give	0	0	dobj_N:iobj	0	dobj_N:iobj	0	280	#
prepare	5	"I recommend you to [prepare] some food for lunch break at home in the morning before you leave your home , such as sandwiches , vegetables and fruits ."	prepare	0	0	dobj_N:prep=>pobj	for	dobj_N:prep=>pobj	for	281	#
Line	1	"[Line] up the bottles in rows , just like ten-pin bowling ."	line	0	0	dobj_N:prep=>pobj:prt	in-up	dobj_N:prep=>pobj:prt	in-up	284	#
put	3	Should we [put] in place informal weekly meetings ?	put	0	0	dobj_N:prep=>pobj	in	dobj_N:prep=>pobj	in	285	#
have	7	"Secondly , a leader should always [have] an eye set on the future because as a manager you have to see the big picture ."	have	0	0	dobj_N:xcomp_VEN	0	dobj_N:xcomp_VEN	0	288	#
be	5	I would also not [be] dependent to a landlord .	be	0	0	acomp	0	acomp	0	291	#
offered	5	If I am be [offered] to this position I believe I will be remarkable asset to your fitness club .	offer	1	0	dobj_N:prep=>pobj	to	dobj_N:iobj	0	300	#
price	6	Super-Mart 's strategy is to [price] their goods under wholesale .	price	0	0	dobj_N:prep=>pobj	under	dobj_N:prep=>pobj	under	303	#
wear	7	"We want that you should well-dressed [wear] , like suit ? s with cotton and tie ."	wear	0	0	su	0	dobj_N	0	304	Example with the correct subcategorisation frame: [wear smart clothes]
found	3	I 've [found] an absolutely amazing job for you .	find	0	0	dobj_N:prep=>pobj	for	dobj_N:prep=>pobj	for	306	#
eat	19	"the weather today is wet , but do n't worry I going to visit museum and after I [eat] in a big restaurant ."	eat	0	0	dobj_N	0	dobj_N	0	307	#
writing	3	I 'm [writing] regarding an issue of breach of contract .	write	0	0	prep=>pobj	regarding	prep=>pobj	regarding	308	#
are	2	You [are] the best in your class !	be	0	0	xcomp_N	0	xcomp_N	0	310	#
got	5	We eat out or [got] to the cinema .	get	0	0	prep=>pobj	to	prep=>pobj	to	311	#
ran	11	"After a short time , his dog turned round and [ran] away from his master ."	run	0	0	prep=>pobj:prt	from-away	prep=>pobj:prt	from-away	313	#
driving	3	I 'm [driving] there on Thursday early morning and will arrive about 8 pm evening .	drive	0	0	advmod	0	advmod	0	314	#
arrive	11	I 'm driving there on Thursday early morning and will [arrive] about 8 pm evening .	arrive	0	0	su	0	su	0	314	#
heard	11	"Today the weather are wet and rainy , but I [heard] on radio the weather from next day , it 's going to warm and sunny tomorow ."	hear	0	0	dobj_N:prep=>pobj	on	dobj_N:prep=>pobj	on	320	#
believe	5	Now please continue to [believe] in my capability of creating new school life for you .	believe	0	0	prep=>pobj	in	prep=>pobj	in	325	#
enter	20	"Possessions and property play an especially important role , and he explains it when he says men when they [enter] into society give up liberty of a kind ."	enter	0	0	prep=>pobj	into	dobj_N	0	328	#
forget	9	"It also has a currency converter , so [forget] about asking the prices for ever ."	forget	0	0	prep=>pcomp_VING	about	prep=>pcomp_VING	about	329	#
dream	3	Also I [dream] about travel around the world .	dream	0	0	newframe	about	prep=>pcomp_VING	about	331	newframe: prep=>pcomp_VBARE
see	4	"As you can [see] in my budget outline enclosed , I have an adequate income to pay off the loan ."	see	0	0	dobj_N:prep=>pobj	in	dobj_N:prep=>pobj	in	335	#
pay	17	"As you can see in my budget outline enclosed , I have an adequate income to [pay] off the loan ."	pay	0	0	dobj_N:prt	off	dobj_N:prt	off	335	#
go	15	"Do you remember you said that dating was unnatural , but we agreed to [go] out together ."	go	0	0	prt	out	prt	out	341	#
Think	1	[Think] about taking your neighbour 's dog with you .	think	0	0	prep=>pcomp_VING	about	prep=>pcomp_VING	about	346	#
fell	9	I was shaked by a huge push and [fell] down .	fall	0	0	prt	down	prt	down	348	#
ask	18	"The whole lounge was noisy , someone was talking about the strike , someone was anxious to [ask] for changing the airline ."	ask	0	0	prep=>pcomp_VING	for	prep=>pobj	for	349	#
feel	6	Better schedule controling helps us [feel] easier and avoid unnecessarily thrusting your mind in haste .	feel	0	0	acomp	0	acomp	0	353	#
happen	4	A terrifying plunder [happen] in downtown this morning .	happen	0	0	su	0	su	0	365	#
surrounded	19	"This bright contemporary home with three bedrooms , two bathrooms and a full finished day light basement is [surrounded] by woods providing lots of privacy ."	surround	1	0	dobj_N	0	dobj_N	0	366	#
attached	5	Look at the file [attached] .	attach	0	1	dobj_N	0	dobj_N	0	373	#
was	2	I [was] Graphic Design but I only study here at moment .	be	0	0	xcomp_N	0	prep=>pobj	in	375	#
looking	3	We are [looking] for all kind of volunteers .	look	0	0	prep=>pobj	for	prep=>pobj	for	378	#
Work	1	[Work] outside with some of the most amazing animals in the world it 's absolutely for you .	work	0	0	prep=>pobj:prt	with-outside	prep=>pobj:prt	with-outside	379	#
started	22	"After four years studing in the college , I done a master course of economics and in the same time I [started] to work in a consultancy company ."	start	0	0	xcomp_VBARE=>aux_TO	0	xcomp_VBARE=>aux_TO	0	382	#
going	10	"Just launched on the market today , people are [going] crazy to get one that most Chinese stores have already sold out ."	go	0	0	newframe	0	newframe	0	383	acomp:xcomp_VBARE=>aux_TO
sold	21	"Just launched on the market today , people are going crazy to get one that most Chinese stores have already [sold] out ."	sell	0	0	prt	out	prt	out	383	#
found	14	"Anyway , despite all this confusion , he finally lucked out and was [found] unharmed ."	find	1	0	dobj_N:xcomp_ADJ	0	dobj_N:xcomp_ADJ	0	387	#
go	7	"At the night , i usually [go] out to have fun with my girlfriend ."	go	0	0	prt:xcomp_VBARE=>aux_TO	out	prt:xcomp_VBARE=>aux_TO	out	388	#
stay	3	"You should [stay] at home more time , spend time with your family , because they 'll help you ."	stay	0	0	prep=>pobj	at	prep=>pobj	at	389	#
spend	9	"You should stay at home more time , [spend] time with your family , because they 'll help you ."	spend	0	0	dobj_N:prep=>pobj	with	dobj_N:prep=>pobj	with	389	#
travel	5	I 'd like to [travel] to New York next year as a short term goal .	travel	0	0	prep=>pobj	to	prep=>pobj	to	390	#
find	2	"Please [find] enclosed a budget outline including my income , expenses and saving per month ."	find	0	0	dobj_N:xcomp_VEN	0	dobj_N:xcomp_VEN	0	391	#
enclosed	3	"Please find [enclosed] a budget outline including my income , expenses and saving per month ."	enclose	0	1	dobj_N	0	dobj_N	0	391	#
work	5	The Place where I [work] is good .	work	0	0	su	0	su	0	393	#
become	20	"to those of you who do n't already know me , I am Bj?rn Scheiner and I want to [become] the new president for the student council ."	become	0	0	xcomp_N	0	xcomp_N	0	404	#
help	9	I hope such a english online cours can [help] me to prove my skills in my free time .	help	0	0	dobj_N:xcomp_VBARE=>aux_TO	0	dobj_N:xcomp_VBARE=>aux_TO	0	410	#
rent	3	"The apartment [rent] for $ 1,850 per month ."	rent	0	0	prep=>pobj	for	prep=>pobj	for	413	[rent] should be [rents]
cook	5	I would like to [cook] on Saturday .	cook	0	0	su	0	su	0	416	#
taking	3	Have you [taking] time off for pregnancy or maternity leave ever been demoted when you return to work ?	take	0	0	dobj_N:prt	off	dobj_N:prt	off	417	[taking] should be [taken]
come	5	In 30 minutes they [come] to home .	come	0	0	prep=>pobj	to	prt	home	423	#
start	5	I 'd like to [start] our pr?sentation with a little quiz .	start	0	0	dobj_N:prep=>pobj	with	dobj_N:prep=>pobj	with	424	#
encouraged	5	A woman is not [encouraged] to meet clients or invited to social events to meet them .	encourage	1	0	dobj_N:xcomp_VBARE=>aux_TO	0	dobj_N:xcomp_VBARE=>aux_TO	0	432	#
invited	10	A woman is not encouraged to meet clients or [invited] to social events to meet them .	invite	1	0	dobj_N:prep=>pobj	to	dobj_N:prep=>pobj	to	432	#
get	12	That 's a good start and I 'm confident you can [get] it over .	get	0	0	dobj_N:prt	over	dobj_N:prep=>pobj	over	433	"[get it over] is ungrammatical. I don't know what the intended sense is, but [get over it] would make the sentence grammatical."
